Name,Author,Status,Date
The Mythical Man Month: Essays on Software Engineering,Frederick Brooks,Read,2021
Agile Estimating and Planning,Mike Cohn,Read,2021
Software Engineering at Google: Lessons Learned from Programming over Time,"Titus Winters, Tom Manshreck, Hyrum Wright",Read,2021
SCRUM: The Art of Doing Twice the Work in Half the Time,"Jeff Sutherland, J.J. Sutherland",Read,2020
C++ Coding Standards,"Herb Sutter, Andrei Alexandrescu",Reading,2021
A Tour of C++ (Second Edition),Bjarne Stroustrup,To Read,2021
Effective C++ (Third Edition),Scott Meyers,To Read,2021
Large Scale C++ - Volume I: Process and Architecture, John Lakos,To Read, 2021
Code Complete (Second Edition),Steve McConnell,To Read,2021
The Pragmatic Programmer: Your Journey to Mastery,David Thomas,To Read,2021
System Design Interview – An insider's guide (Second Edition),Alex Xu,To Read,2021
The Linux Command Line: A Complete Introduction (2nd Edition),William Shotts,To Read,2021
Practical Vim: Edit Text at the Speed of Thought,Drew Neil,To Read,2021


